split,num_train,num_pos_train,num_test,num_pos_test,time,average_precision,ndcg-precision,rec-precision,f1
2003,7890,175,3001,87,11.6756432056427,0.2521289661053456,0.38468817193072025,0.28735632183908044,0.0449438202247191
2004,8468,214,2941,80,13.925843954086304,0.2192015689844325,0.34587132057185427,0.325,0.0
2005,9110,228,2834,80,14.479910135269165,0.21376456541123037,0.34714427119981406,0.2875,0.0
2006,8776,191,2788,56,14.506662130355835,0.10110993258500164,0.2247464257299854,0.19642857142857142,0.0
2007,8563,174,2721,50,15.861240148544312,0.15579491676131976,0.3136151959167358,0.2,0.07692307692307693
2008,8343,144,2718,57,15.926744222640991,0.15643854493351092,0.33884202212780223,0.2631578947368421,0.0
2009,8227,114,2694,59,16.53019905090332,0.07627409997912928,0.1975304780241765,0.13559322033898305,0.03333333333333333
2010,8133,112,2667,71,16.46810531616211,0.12982326707611563,0.24235098228683324,0.1267605633802817,0.02777777777777778
2011,8079,121,2571,65,15.794735193252563,0.0770231828503638,0.1789361184805245,0.09230769230769231,0.0
2012,7932,117,2513,80,13.60335111618042,0.060094585070734764,0.10566055651010534,0.1,0.0
2013,7751,132,2481,90,12.280282020568848,0.05441699874549909,0.10563909748949049,0.08888888888888889,0.0
2014,7565,131,2468,83,11.96766996383667,0.04128607685911617,0.07388337481790296,0.08433734939759036,0.0
