split,num_train,num_pos_train,num_test,num_pos_test,time,average_precision,ndcg-precision,rec-precision
2003,7890,175,3001,87,5.011955261230469,0.4320636978465132,0.5591816942651799,0.47126436781609193
2004,8468,214,2941,80,5.179319858551025,0.3674412129525787,0.529795599204741,0.45
2005,9110,228,2834,80,5.371763706207275,0.3398435841089287,0.4948671187887435,0.3875
2006,8776,191,2788,56,5.298743963241577,0.162116114853771,0.30299282721252097,0.30357142857142855
2007,8563,174,2721,50,5.102877378463745,0.16631002913804407,0.316714368117018,0.28
2008,8343,144,2718,57,5.004413366317749,0.17202903676562692,0.3175245883120608,0.21052631578947367
2009,8227,114,2694,59,5.109637260437012,0.1093467495448642,0.24009505188237087,0.15254237288135594
2010,8133,112,2667,71,4.940528631210327,0.14424927010773575,0.256601390382813,0.14084507042253522
2011,8079,121,2571,65,5.353811025619507,0.15155415502659234,0.2706203297342628,0.15384615384615385
2012,7932,117,2513,80,4.8741371631622314,0.07605023265446474,0.12194421683024774,0.1
2013,7751,132,2481,90,4.875570774078369,0.06602864091551677,0.12235007939877456,0.1
2014,7565,131,2468,83,4.79479718208313,0.05636053040340652,0.07177119403200165,0.04819277108433735
