split,num_train,num_pos_train,num_test,num_pos_test,time,average_precision,ndcg-precision,rec-precision,f1
2003,7890,175,3001,87,0.014525890350341797,0.09014301965007526,0.1680920929375138,0.12643678160919541,0.12345679012345678
2004,8468,214,2941,80,0.014360427856445312,0.1589816873029081,0.3195390458642023,0.25,0.20689655172413793
2005,9110,228,2834,80,0.01392507553100586,0.08116153682701245,0.1593382000864976,0.1,0.04819277108433735
2006,8776,191,2788,56,0.014006614685058594,0.07840851285621032,0.1664137431970476,0.125,0.09395973154362416
2007,8563,174,2721,50,0.013309478759765625,0.0822182035911409,0.1697987672218304,0.1,0.09375
2008,8343,144,2718,57,0.012858867645263672,0.0331291687935069,0.06316485673111855,0.07017543859649122,0.041713221601489756
2009,8227,114,2694,59,0.012848138809204102,0.07257325704146546,0.152472371297919,0.0847457627118644,0.08955223880597014
2010,8133,112,2667,71,0.012982368469238281,0.07592861722453317,0.183247426860237,0.1267605633802817,0.05405405405405406
2011,8079,121,2571,65,0.012195110321044922,0.03753169770466362,0.07210295417717377,0.09230769230769231,0.0
2012,7932,117,2513,80,0.012754678726196289,0.06451361166486248,0.04708301824145667,0.05,0.1320754716981132
2013,7751,132,2481,90,0.011475801467895508,0.04838684807671515,0.043428193177626764,0.044444444444444446,0.05907172995780591
2014,7565,131,2468,83,0.011655330657958984,0.05054145782272317,0.07201436736065536,0.07228915662650602,0.08513708513708514
