split,num_train,num_pos_train,num_test,num_pos_test,time,average_precision,ndcg-precision,rec-precision,f1
2003,8121,182,3103,91,0.16650104522705078,0.0469391576454831,0.07342562476354347,0.08791208791208792,0.08069164265129683
2004,8732,225,3068,84,0.1292438507080078,0.036382410811341394,0.040485382008986236,0.03571428571428571,0.060810810810810814
2005,9429,235,2990,80,0.1964282989501953,0.039676955511496775,0.06762783569400568,0.075,0.06837606837606838
2006,9161,196,2974,58,0.1173405647277832,0.026279470203801426,0.012906454058983918,0.017241379310344827,0.04888268156424581
2007,9032,179,2921,52,0.13299560546875,0.023438924522184434,0.028353049658875154,0.038461538461538464,0.04174820613176777
2008,8885,146,2928,62,0.10577774047851562,0.026927723002669657,0.041140219274202,0.04838709677419355,0.04602510460251046
2009,8823,120,2894,63,0.10013389587402344,0.031009537104572236,0.046892313845151946,0.047619047619047616,0.04153354632587859
2010,8743,118,2864,77,0.09044766426086426,0.029097948249760947,0.02517739649776861,0.025974025974025976,0.048484848484848485
2011,8686,131,2754,72,0.12711334228515625,0.045844929224086714,0.0912712927989633,0.06944444444444445,0.04888569374550683
2012,8512,128,2680,84,0.1321256160736084,0.054158299564178676,0.0864375495113313,0.08333333333333333,0.07646176911544228
2013,8298,146,2655,95,0.1259138584136963,0.048613711628499486,0.060057175147289955,0.05263157894736842,0.07627118644067797
2014,8089,140,2649,87,0.10029172897338867,0.039002141071041094,0.038589175783385575,0.04597701149425287,0.06931530008453085
