split,num_train,num_pos_train,num_test,num_pos_test,time,average_precision,ndcg-precision,rec-precision,f1
2003,7890,175,3001,87,0.19698572158813477,0.39309506931423954,0.5646954383881782,0.5057471264367817,0.5207100591715976
2004,8468,214,2941,80,0.33463168144226074,0.31310822135596056,0.4588321465338657,0.425,0.3763440860215054
2005,9110,228,2834,80,0.3805258274078369,0.2893031971662063,0.4384652665278196,0.3875,0.34146341463414637
2006,8776,191,2788,56,0.3602936267852783,0.16879497838631452,0.2682318802649758,0.23214285714285715,0.2482758620689655
2007,8563,174,2721,50,0.37751150131225586,0.15118386487276148,0.30601807038260664,0.28,0.19718309859154928
2008,8343,144,2718,57,0.3800623416900635,0.08611647669738827,0.21871603201461806,0.21052631578947367,0.16551724137931034
2009,8227,114,2694,59,0.3121824264526367,0.09433878400018547,0.19883888511405248,0.2033898305084746,0.21374045801526717
2010,8133,112,2667,71,0.35052919387817383,0.10835175501381988,0.21956066598066706,0.16901408450704225,0.15894039735099338
2011,8079,121,2571,65,0.3086116313934326,0.08162383268786562,0.18395097695323007,0.15384615384615385,0.14814814814814814
2012,7932,117,2513,80,0.18825554847717285,0.06278114079101874,0.13768732800921724,0.1375,0.13924050632911392
2013,7751,132,2481,90,0.3340632915496826,0.05592355409432535,0.10301531987076323,0.1111111111111111,0.10638297872340426
2014,7565,131,2468,83,0.310699462890625,0.05903720507728948,0.10513772724140123,0.10843373493975904,0.10810810810810811
