split,num_train,num_pos_train,num_test,num_pos_test,time,average_precision,ndcg-precision,rec-precision,f1
2003,7890,175,3001,87,6.8800084590911865,0.33123565945417566,0.4774109588065157,0.39080459770114945,0.417910447761194
2004,8468,214,2941,80,7.365187883377075,0.3084107641107679,0.4262430685009328,0.35,0.390625
2005,9110,228,2834,80,7.948321580886841,0.26026333349264014,0.4234129837435252,0.3375,0.36507936507936506
2006,8776,191,2788,56,7.52888298034668,0.17750371538978274,0.31595777912259526,0.26785714285714285,0.29213483146067415
2007,8563,174,2721,50,7.458102464675903,0.20004656219914063,0.3674916701338193,0.26,0.32432432432432434
2008,8343,144,2718,57,7.154189109802246,0.174240638736566,0.3174970058226254,0.19298245614035087,0.26666666666666666
2009,8227,114,2694,59,7.0718092918396,0.08182170451506422,0.17196450895507634,0.15254237288135594,0.1038961038961039
2010,8133,112,2667,71,8.712488651275635,0.10374179812360991,0.18498859719301197,0.14084507042253522,0.18604651162790697
2011,8079,121,2571,65,7.077148199081421,0.07989818267265496,0.16157493370984505,0.1076923076923077,0.13157894736842105
2012,7932,117,2513,80,6.82936954498291,0.08119642430298116,0.18808888413122551,0.1375,0.04395604395604396
2013,7751,132,2481,90,6.728221416473389,0.04033046258667131,0.05604242777135271,0.044444444444444446,0.039603960396039604
2014,7565,131,2468,83,6.6449902057647705,0.05495833544120622,0.08461250454458502,0.08433734939759036,0.02247191011235955
