split,num_train,num_pos_train,num_test,num_pos_test,time,average_precision,ndcg-precision,rec-precision,f1
2003,7890,175,3001,87,1.9006907939910889,0.06260226312322188,0.12641988653383224,0.10344827586206896,0.022727272727272728
2004,8468,214,2941,80,2.0259175300598145,0.06130595624546229,0.12244989851165307,0.0875,0.024691358024691357
2005,9110,228,2834,80,2.211008310317993,0.05697224742556272,0.1057060129053577,0.0625,0.024691358024691357
2006,8776,191,2788,56,2.1088690757751465,0.023212735796545984,0.022472597574196135,0.017857142857142856,0.0
2007,8563,174,2721,50,2.0736305713653564,0.056835067271817016,0.1448698105522396,0.1,0.0392156862745098
2008,8343,144,2718,57,2.003636598587036,0.0422422051484661,0.08415735822150873,0.03508771929824561,0.034482758620689655
2009,8227,114,2694,59,1.973201036453247,0.04275448581299336,0.09355589404667596,0.06779661016949153,0.03333333333333333
2010,8133,112,2667,71,1.9682142734527588,0.04495705946170853,0.09869414247197403,0.056338028169014086,0.027777777777777776
2011,8079,121,2571,65,1.9218995571136475,0.03199383068696101,0.0427083271061594,0.046153846153846156,0.0
2012,7932,117,2513,80,1.863459825515747,0.06402049770479945,0.11621377312422544,0.1375,0.0
2013,7751,132,2481,90,1.841339349746704,0.0578589457766306,0.0931819177724068,0.05555555555555555,0.02197802197802198
2014,7565,131,2468,83,1.8223705291748047,0.07666410085980635,0.1516014828817133,0.08433734939759036,0.023809523809523808
